FID_1,STATE,COUNTY,CITY,LATITUDE,LONGITUD,OBJECTID,ICOUNT,Distance
3814,6,71,2960,34.06685000,-117.21606944,3289,4,763.90592953
3709,6,71,2960,34.00816667,-117.17309444,3315,3,3876.06305547
3970,6,71,1605,34.12124722,-117.20786667,3326,4,24.88408992
3547,6,65,0,33.55012222,-116.71349167,3349,3,11539.62312771
3508,6,65,2650,33.83564167,-116.53691667,3374,4,1248.35567963
3660,6,65,2650,33.90470833,-116.55500833,3377,3,941.07909697
3767,6,65,1003,33.95230556,-116.50133056,3377,3,6634.53943743
3497,6,65,250,33.92610000,-116.92384167,3391,4,3598.45182238
3674,6,65,250,33.92843333,-116.84430556,3398,3,2155.98585202
3745,6,65,0,33.91985833,-116.80333056,3398,3,5891.23633046
3764,6,65,250,33.92595000,-116.85363333,3398,3,1264.17461159
3538,6,65,0,33.92160556,-116.65562222,3402,3,2121.59224336
3465,6,65,2650,33.89257500,-116.61171944,3406,3,2589.65857529
3457,6,71,0,34.04887500,-116.57855833,3409,3,9843.77074212
3624,6,83,0,34.55768889,-119.91281944,3442,3,13600.88352738
3824,6,83,0,34.51447778,-119.82577778,3447,3,7066.19408738
3693,6,83,0,34.44055000,-119.75995000,3459,3,171.53067554
3967,6,111,2620,34.18116944,-119.19513611,3531,4,657.07053610
3776,6,111,2620,34.18996111,-119.16918889,3563,4,662.18432228
3456,6,111,4027,34.24763333,-119.20118611,3608,3,577.83182398
3678,6,111,0,34.36555278,-119.45048333,3638,3,2945.74006293
3647,6,111,2530,34.44491389,-119.26015278,3649,3,362.35015361
3600,6,111,0,34.06641944,-118.99880000,3652,3,9624.47114670
3705,6,37,0,34.14728056,-118.76905000,3704,3,2933.05412231
3719,6,37,0,34.14980000,-118.80490000,3704,3,383.33310602
3781,6,111,3860,34.18783889,-118.89331944,3714,4,329.69602343
3653,6,37,2054,34.02143611,-118.79299167,3729,3,8382.74431025
3922,6,37,1980,33.93090000,-118.38810000,3740,4,673.93179201
3910,6,37,1980,33.99628611,-118.42766389,3769,4,67.38395938
3932,6,37,1980,34.02194722,-118.42596389,3845,4,1226.17179263
3773,6,37,1980,34.05809444,-118.45884722,3861,3,585.94887391
3502,6,37,0,34.10195556,-118.69306111,3883,3,5218.23145822
3780,6,37,0,34.13694444,-118.72277222,3883,3,2688.01461117
3634,6,37,1980,34.17268333,-118.56805833,3914,4,201.99855934
3668,6,37,1980,34.15921944,-118.46026111,3934,4,456.79885086
3706,6,37,1980,34.18661944,-118.51966667,3944,4,1767.79190661
3697,6,37,1980,34.20101111,-118.55789167,3994,4,1115.51167926
3733,6,37,1980,34.20107500,-118.52080833,4000,4,1877.44774386
3514,6,37,1980,34.22133056,-118.48525556,4001,4,231.62327910
3848,6,37,1980,34.26470833,-118.56347778,4011,3,995.30121513
3811,6,37,1980,34.27192778,-118.50182778,4014,4,694.46365879
3734,6,37,1980,34.28101389,-118.50211667,4015,3,196.59834297
3920,6,111,0,34.20541389,-118.98840278,4066,4,1883.50528101
3504,6,111,2270,34.26342500,-118.88540556,4101,3,1789.19002025
3875,6,111,3641,34.28627222,-118.75407778,4120,3,3407.72878561
3642,6,37,2054,34.37838611,-118.61133889,4131,3,4707.91956134
3888,6,37,0,34.44361944,-118.62590833,4140,3,1945.78314484
3840,6,83,0,34.75617500,-120.34282222,4188,3,6806.72491424
3715,6,79,0,35.01481944,-120.58216944,4210,4,6473.39888594
3536,6,83,3460,34.96221667,-120.43568611,4215,4,1033.76420850
3658,6,83,3460,34.97147500,-120.42223611,4223,3,1291.87269164
3988,6,29,0,35.26689167,-119.22796667,4329,4,383.72266423
3785,6,29,0,35.21245000,-119.01111944,4374,4,465.00476350
3541,6,29,0,35.26695556,-118.93201667,4397,4,6726.43773624
3548,6,29,240,35.35391944,-118.99646111,4450,4,538.16526934
3998,6,29,240,35.36448056,-119.00305278,4460,4,441.59344796
3783,6,29,0,35.45526111,-119.10538056,4480,3,1587.68477861
3495,6,29,0,35.44515000,-119.09146944,4481,3,437.94136708
3593,6,29,0,35.42201111,-119.06160000,4483,3,1902.01039645
3803,6,29,0,35.42427222,-119.06235833,4483,3,1669.00619674
3997,6,29,0,35.43334444,-119.07050556,4483,3,468.59223223
3962,6,29,0,35.37096111,-118.96706944,4509,4,268.08479967
3475,6,29,0,35.29586389,-118.91103611,4517,4,6356.70643617
3849,6,29,0,35.38008056,-118.90396944,4521,3,948.02514527
3979,6,29,240,35.41941111,-118.82557222,4530,3,3320.38887480
3944,6,37,1700,33.95972222,-118.34529167,4588,4,694.22265820
3735,6,37,1980,33.95996111,-118.30016944,4621,4,659.28288189
3855,6,37,1980,33.96967222,-118.29156389,4623,4,547.06787965
3752,6,37,1980,33.97259444,-118.33087500,4696,4,209.29158783
3987,6,37,1980,33.98611667,-118.30897778,4699,4,338.27080752
3687,6,37,1980,33.94756111,-118.27973889,4712,4,245.42364645
3688,6,37,1980,33.93826944,-118.26501111,4715,4,811.22339710
3682,6,37,1980,33.95663056,-118.28272778,4725,4,389.78372962
3464,6,37,1980,33.95833889,-118.25642222,4736,4,208.16241824
3777,6,37,1670,33.97479167,-118.23030000,4758,4,81.42181133
3756,6,37,0,33.99255556,-118.20455833,4760,4,1343.84351626
3938,6,37,1980,33.99497500,-118.28623333,4766,4,781.11227261
3585,6,37,1980,34.02731944,-118.27415556,4804,4,57.73209196
3916,6,37,1980,34.03191111,-118.41576111,4945,4,45.74187428
3937,6,37,1980,34.01643889,-118.33512500,4972,4,567.04939626
3635,6,37,1980,34.03964444,-118.33105833,4989,4,88.64613361
3953,6,37,4124,34.09037500,-118.38768611,5019,4,101.86447457
3774,6,37,1980,34.09961667,-118.36531389,5032,3,211.89803632
3558,6,37,4124,34.08941667,-118.34412500,5037,4,171.98772588
3744,6,37,1980,34.05260000,-118.30631667,5108,4,166.47342851
3721,6,37,1980,34.06905000,-118.29541389,5112,4,919.10812853
3940,6,37,1980,34.08041944,-118.29153056,5113,4,88.58521572
3986,6,37,1980,34.06655833,-118.27038611,5115,4,94.47715221
3927,6,37,1980,34.04261944,-118.20735000,5185,3,803.27434705
3769,6,37,1980,34.06031389,-118.21492778,5210,4,91.09948675
3993,6,37,1980,34.12250000,-118.21210833,5320,3,726.83167340
3813,6,37,306,33.96970278,-118.14907500,5329,4,519.18915070
3984,6,37,1045,33.96010278,-118.14287500,5329,4,958.50039800
3669,6,37,2749,33.97133333,-118.10027222,5380,4,368.66475878
3862,6,37,804,34.01303611,-118.17216944,5430,4,378.24237276
3641,6,37,0,34.02392222,-118.17393056,5431,4,585.60439567
3887,6,37,0,34.03655000,-118.17095278,5459,4,192.60614870
3858,6,37,1695,34.02417500,-118.03761944,5508,4,334.63118467
3826,6,37,3686,34.03630000,-118.03308889,5519,4,406.03508363
3522,6,37,1695,34.01583611,-117.97529444,5528,4,1198.20183833
3759,6,37,0,34.05036667,-117.99793889,5536,4,652.50346387
3686,6,37,3105,34.06268611,-118.07005278,5653,4,1075.12087509
3802,6,37,0,34.27306944,-118.02702500,5689,4,13377.25419967
3765,6,37,1980,34.16061111,-118.43125833,5722,4,342.60024065
3828,6,37,1980,34.15753889,-118.41455000,5725,4,147.58460751
3748,6,37,1980,34.18665000,-118.44873889,5754,4,84.07337527
