STATE,COUNTY,LATITUDE,LONGITUDE
1.0000,33.0000,34.77726389,-87.66912500
1.0000,89.0000,34.70536944,-86.59325278
1.0000,49.0000,34.34901111,-85.72501389
1.0000,51.0000,32.45490000,-86.35613056
1.0000,73.0000,33.66709444,-86.70212778
1.0000,9.0000,33.81158889,-86.67442222
1.0000,15.0000,33.59039722,-85.85872222
1.0000,15.0000,33.83738333,-86.02006667
1.0000,53.0000,31.00190278,-87.59366389
1.0000,107.0000,33.14621944,-88.11996944
1.0000,97.0000,30.77678333,-88.24781944
1.0000,35.0000,31.26542222,-87.12767778
1.0000,129.0000,,
1.0000,1.0000,,
1.0000,43.0000,34.03576944,-86.78583056
1.0000,13.0000,31.95803056,-86.54476389
1.0000,57.0000,33.60040833,-87.66355556
1.0000,15.0000,33.94180556,-85.58318056
1.0000,97.0000,30.77138056,-88.27655000
1.0000,121.0000,33.28166667,-86.20653611
1.0000,97.0000,30.67083056,-88.23505278
1.0000,19.0000,34.36355833,-85.60935278
1.0000,15.0000,33.84133056,-86.05117778
1.0000,21.0000,33.03669167,-86.59578056
1.0000,97.0000,30.78616389,-88.28226389
1.0000,83.0000,34.88955278,-86.80196389
1.0000,101.0000,32.20137500,-86.34956389
1.0000,133.0000,34.11612222,-87.17226944
1.0000,23.0000,,
1.0000,59.0000,34.48157778,-87.62717778
1.0000,3.0000,30.29488889,-87.55371111
1.0000,67.0000,31.35391389,-85.32693889
1.0000,83.0000,34.80663333,-87.07166667
1.0000,67.0000,,
1.0000,49.0000,34.43808889,-85.70614722
1.0000,73.0000,33.66198056,-86.57774722
1.0000,109.0000,31.90737222,-86.01208056
1.0000,101.0000,32.39794167,-86.33193611
1.0000,81.0000,32.53585833,-85.08374167
1.0000,101.0000,32.12100000,-86.07309444
1.0000,105.0000,32.72471111,-87.32110278
1.0000,49.0000,34.49795556,-85.74803333
1.0000,103.0000,34.44834722,-86.86459722
1.0000,97.0000,30.72986111,-88.06225278
1.0000,29.0000,33.50295000,-85.60989722
1.0000,73.0000,33.28101111,-87.01891667
1.0000,115.0000,33.59499444,-86.40263889
1.0000,129.0000,31.25680278,-88.00846944
1.0000,29.0000,33.73088611,-85.43350833
1.0000,15.0000,33.89818333,-85.91835000
1.0000,89.0000,34.86509167,-86.67727500
1.0000,47.0000,32.43337500,-86.93464444
1.0000,95.0000,34.45502778,-86.31852778
1.0000,29.0000,33.64725000,-85.49726111
1.0000,81.0000,32.54612222,-85.13291667
1.0000,59.0000,34.55507500,-87.69978611
1.0000,73.0000,33.77766944,-86.68450000
1.0000,51.0000,32.48408889,-86.40575833
1.0000,111.0000,33.23070000,-85.35703333
1.0000,19.0000,34.15399444,-85.68685833
1.0000,35.0000,31.50839167,-86.92067222
1.0000,89.0000,34.71255556,-86.65506667
1.0000,3.0000,30.58127778,-87.51287222
1.0000,51.0000,32.44222500,-86.37678889
1.0000,79.0000,34.46376944,-87.48145000
1.0000,73.0000,33.40667778,-86.79648611
1.0000,117.0000,33.11411111,-86.68798333
1.0000,121.0000,33.44604167,-86.10168889
1.0000,121.0000,33.54216389,-86.18304444
1.0000,121.0000,33.17528889,-86.29011944
1.0000,73.0000,33.63997500,-86.65802778
1.0000,53.0000,31.18485833,-87.52690000
1.0000,89.0000,34.53927778,-86.38005278
1.0000,89.0000,34.74924722,-86.45677500
1.0000,95.0000,34.33092222,-86.20490833
1.0000,97.0000,30.71861111,-88.27626111
1.0000,101.0000,32.25937222,-86.34801111
1.0000,107.0000,33.07254722,-88.29596944
1.0000,3.0000,30.81872500,-87.77290833
1.0000,9.0000,33.86642778,-86.54993889
1.0000,25.0000,31.82280000,-87.60871667
1.0000,51.0000,32.61896111,-85.95046389
1.0000,69.0000,31.12175833,-85.25090278
1.0000,95.0000,34.30101944,-86.27582778
1.0000,73.0000,33.52502500,-86.81829167
1.0000,67.0000,31.56970278,-85.28171944
1.0000,81.0000,32.63138333,-85.37315556
1.0000,73.0000,33.72515833,-87.00681667
1.0000,59.0000,34.49970833,-87.71919167
1.0000,9.0000,34.08511111,-86.45361389
1.0000,45.0000,,
1.0000,97.0000,30.62640000,-88.17402222
1.0000,95.0000,34.40935278,-86.27151389
1.0000,101.0000,32.38156389,-86.20020833
1.0000,69.0000,31.22373056,-85.39336111
1.0000,111.0000,33.15189444,-85.35949444
1.0000,13.0000,31.61235833,-86.81394444
1.0000,89.0000,34.66557222,-86.57225833
1.0000,83.0000,34.86085833,-86.83115278
1.0000,105.0000,32.68589167,-87.29223611
1.0000,73.0000,33.51758889,-86.79869722
1.0000,113.0000,32.46229444,-85.16696667
1.0000,73.0000,33.51985833,-86.83119444
1.0000,73.0000,33.52362778,-86.77073611
1.0000,13.0000,31.71898611,-86.72818056
1.0000,71.0000,34.59166111,-86.09289444
1.0000,49.0000,34.28820556,-85.92105278
1.0000,95.0000,34.33960556,-86.49814167
1.0000,23.0000,32.08885278,-88.25646944
1.0000,71.0000,34.96381111,-85.72849444
1.0000,15.0000,33.59032500,-85.86579444
1.0000,99.0000,31.62819167,-87.25233889
