"","County","State","Fatalities.Count","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"48","PALM BEACH COUNTY","Florida",175.888888888889,353,960.2757650424,7546.96513681733,6620.39615468356,2379.89159107733,5266.57071595551,9130.084551304,138170.196281618,1521.06110466084
"49","PASCO COUNTY","Florida",82.6666666666667,354,2315.57481635985,6077.46833763077,7652.70533195769,3436.32162101285,12570.2659475172,19871.6256585862,10466.9062941635,3369.15699004146
"50","PINELLAS COUNTY","Florida",109.444444444444,355,875.677076133131,1924.02832282692,2751.58741445475,2481.91978373884,3447.16340170328,11841.1477488379,6681.95257250859,1097.68791807742
"51","POLK COUNTY","Florida",118.333333333333,356,1528.30307616748,8482.64557105569,8866.82863032695,3438.09452944755,12093.7596761443,56244.5315841916,24342.8971984731,3785.40895332437
"52","PUTNAM COUNTY","Florida",21.6666666666667,357,3435.71097768543,15835.4192752971,14029.2877718571,5762.43336258029,14214.3757559657,60808.1278045714,10380.0366069429,4668.28167527143
"53","SANTA ROSA COUNTY","Florida",23.5555555555556,358,1700.60711270476,13421.7747230286,12164.3694917714,4684.04213255071,14167.4095961883,26317.1522866905,105808.049830952,6509.16487869762
"54","SARASOTA COUNTY","Florida",50.5555555555556,359,756.027938647571,5708.91393763,7099.57791527429,4037.37571709157,14754.3112024871,19670.2423566857,13996.4932656343,3406.61206056714
"55","SEMINOLE COUNTY","Florida",39.2222222222222,360,1165.76663880892,4275.17306982297,8028.14389690541,2879.43823997838,11195.9908895905,7738.79492346622,13621.8477439041,2348.38024120811
"56","SUMTER COUNTY","Florida",20.6666666666667,363,2384.10514105879,17137.3437477273,16334.6711845697,4720.18884338333,33751.2154818182,31278.9128857576,29032.5087809091,4326.54396930303
"57","SUWANNEE COUNTY","Florida",17.1111111111111,364,4866.718770936,16189.498886836,17938.3120628,7158.6390981208,96340.0088836,119473.663732,50780.824688,7828.316511732
"58","TAYLOR COUNTY","Florida",6.11111111111111,365,1076.03154177143,15049.017985,15381.1957314286,11603.5773565429,70590.49727,163211.245642857,103317.315551429,10218.4670024
"59","UNION COUNTY","Florida",4.77777777777778,366,1455.6047545,8897.85548915,9432.83028533333,3423.76997416667,59847.7722583333,64978.65321,20729.9470125,8243.66709915
"60","VOLUSIA COUNTY","Florida",108.666666666667,367,1604.14557784894,7215.91780969967,7310.77071686378,2590.85145003639,9042.34946335961,42449.2946965111,37731.0032695444,3262.50157518944
"61","WAKULLA COUNTY","Florida",5.22222222222222,368,4087.5536546,13431.1961511429,36089.8937742857,6315.97531308571,34430.89801,142104.713757143,177297.385471429,5509.48411742857
"62","WALTON COUNTY","Florida",22,369,1916.47416596537,42482.2165707317,16199.5605724878,4411.15607195366,75587.0074458537,57950.0498712195,143932.249763415,5645.78618630244
"63","WASHINGTON COUNTY","Florida",8.55555555555556,370,1527.67685647,35705.4057875,17332.561934,6193.40253841667,44847.9894225,49297.153755,161126.568083333,3274.92702455833
